from,to,type
/bandeja-termica-com-molheira-bivolt---cotherm-304299/nossas-lojas,/bandeja-termica-com-molheira-bivolt---cotherm-304299,permanent
/ventilador-de-mesa-30cm-127v-turbo6-vermelho-ventisol-394299/nossas-lojas,/,permanent
/-5m�--papel-de-parede-arabesco-qiffany---pp146-90856,/-5m--papel-de-parede-arabesco-qiffany---pp146-90856,permanent
/ventilador-coluna-mondial---turbo-8-pas---vtx-50c-8p-78117/nossas-lojas,/ar-e-ventilacao/ventilador,permanent
/ferro-de-passar-a-vapor-philco-pfv2200r-nano-ceramic-110v-171059/nossas-lojas,/ferro-de-passar-a-vapor-philco-pfv2200r-nano-ceramic-110v-171059,permanent
https://www.casaevideo.com.br/echo-dot--3%c2%aa-geracao---smart-speaker-com-alexa---cor-preta-57143/p,https://www.casaevideo.com.br/echo-dot--3-geracao---smart-speaker-com-alexa---cor-preta-57143/p,permanent
/mop-spray-mop7800-com-reservatorio-euro-cinza-com-azul-331785/nossas-lojas,/mop-spray-mop7800-com-reservatorio-euro-cinza-com-azul-331785,permanent
/gaveta-plastica-para-estante-abelt-bin-n�8-preta-66257,/gaveta-plastica-para-estante-abelt-bin-n8-preta-66257,permanent
/porta-talher-com-tampa-355-sanremo-branco/nossas-lojas,/porta-talher-com-tampa-355-sanremo-branco,permanent
/creme-para-calcanhares-60g-veromed-406322/nossas-lojas,/creme-para-calcanhares-60g-veromed-406322,permanent
/jogo-chave-estrela-13b-6pc---3-8x7-16-a-15-16x1--�-gedore-red-166895,/jogo-chave-estrela-13b-6pc---3-8x7-16-a-15-16x1----gedore-red-166895,permanent
/suporte-articulado-com-4-movimentos-para-tv-ate-70-polegadas-304962/nossas-lojas,/,permanent
/caixa-de-som-2-0-dual-6w-com-bluetooth-e-entrada-para-fone-e-microfone---cxdu-bt-405844/nossas-lojas,/,permanent
/varal-luz-cordao-iluminacao-decoracao-5-m-lampada-15w-127v-114314/nossas-lojas,/,permanent
/armadilha-luminosa-mata-mosquito-mosca-22m�-stickfly-v15-59300,/armadilha-luminosa-mata-mosquito-mosca-22m-stickfly-v15-59300,permanent
/arquivos/ids/1925237-150-auto?v=637897518552900000&width=150&height=auto&aspect=true,/,permanent
/luva-soldavel-com-rosca-32mm-x-1--amanco-291132/nossas-lojas,/luva-soldavel-com-rosca-32mm-x-1--amanco-291132,permanent
/rack-estante-tv-65---leds-preto--laca-fume-323108/nossas-lojas,/rack-estante-tv-65---leds-preto--laca-fume-323108,permanent
/disjuntor-i--tripolar-350-500a-ajustavel-36ka-�-schneider-80035,/disjuntor-i--tripolar-350-500a-ajustavel-36ka--schneider-80035,permanent
/plafon-led-quadrado-embutir-22-x-22cm-6500k-15w-�-philips-82315,/plafon-led-quadrado-embutir-22-x-22cm-6500k-15w--philips-82315,permanent
/carregador-automotivo-android-iphone-multilaser-cb094-verde-402395/nossas-lojas,/carregador-automotivo-android-iphone-multilaser-cb094-verde-402395,permanent
/antena-parabolica-century-multiponto-15m-1-receptor-nanobox-195831/nossas-lojas,/,permanent
/cupula-abajur-tecido-cilindrica-cp-8020-�45x21cm-preto-314890,/cupula-abajur-tecido-cilindrica-cp-8020-45x21cm-preto-314890,permanent
